job,cost_code,description,original_budget,approved_changes,committed,cost_to_date,billed_to_date,percent_complete
26-014,01-000,General Conditions,3880000,0,3880000,1268000,1240000,33
26-014,02-000,"Sitework, Excavation, Foundations",4650000,312450,4962450,4815000,4760000,97
26-014,03-000,Cast-in-Place Concrete,9700000,0,9640000,5812000,5640000,60
26-014,04-000,Masonry,2150000,0,2120000,210000,190000,10
26-014,05-000,Structural and Misc. Steel,1420000,0,1395000,640000,620000,45
26-014,07-000,Roofing and Waterproofing,1960000,0,1910000,240000,230000,12
26-014,08-000,Windows and Curtain Wall,4120000,0,4060000,380000,360000,9
26-014,09-000,Finishes,6380000,0,5910000,0,0,0
26-014,14-000,Elevators,1480000,0,1455000,220000,210000,15
26-014,21-000,Fire Protection,940000,0,925000,95000,90000,10
26-014,22-000,Plumbing,3260000,0,3190000,740000,710000,23
26-014,23-000,HVAC,3640000,0,3590000,610000,590000,17
26-014,26-000,Electrical,3540000,0,3480000,640000,620000,18
26-014,99-000,GC Fee and Insurance,1380000,0,1380000,400000,400000,29
